individual,Sample,population,red,yellow,blue,green,orange
85,R31,Late Antiquity  ,0.2214,0.2535,0,0.2646,0.2604
86,R117,Late Antiquity  ,0.0662,0.0622,0.0202,0.4926,0.3589
87,R109,Late Antiquity  ,0.137,0.1824,0,0.3307,0.3499
88,R110,Late Antiquity  ,0.1435,0.136,0,0.3375,0.383
89,R122,Late Antiquity  ,0.0701,0.0805,0.0231,0.4618,0.3645
90,R106,Late Antiquity  ,0.1975,0.2445,0,0.2856,0.2724
91,R118,Late Antiquity  ,0.0964,0.1003,0.0063,0.4517,0.3453
92,R107,Late Antiquity  ,0.0687,0.1155,0.0041,0.4394,0.3724
93,R35,Late Antiquity  ,0.0516,0.093,0.0134,0.488,0.354
94,R120,Late Antiquity  ,0.1101,0.0881,0.0202,0.4234,0.3582
95,R104,Late Antiquity  ,0.1293,0,0.0039,0.2855,0.5813
96,R108,Late Antiquity  ,0.1645,0.1736,0,0.3535,0.3083
97,R36,Late Antiquity  ,0.0807,0.1299,0.0071,0.4381,0.3441
98,R121,Late Antiquity  ,0.066,0.129,0.0057,0.4404,0.3589
99,R105,Late Antiquity  ,0.1644,0.1623,0,0.3386,0.3347
100,R58,Medieval & Early Modern,0.0888,0.0892,0.0163,0.4666,0.3391
101,R1283,Medieval & Early Modern,0.0959,0.0839,0.0095,0.4468,0.364
102,R59,Medieval & Early Modern,0.0794,0.0926,0.001,0.4915,0.3355
103,R60,Medieval & Early Modern,0.0872,0.1127,0.0195,0.4569,0.3238
104,R63,Medieval & Early Modern,0.1844,0.1204,0.021,0.3125,0.3618
105,R1285,Medieval & Early Modern,0.1153,0.0754,0.0095,0.4284,0.3714
106,R65,Medieval & Early Modern,0.0611,0.0601,0,0.5209,0.3579
107,R57,Medieval & Early Modern,0.0849,0.1134,0.0147,0.4557,0.3313
108,R64,Medieval & Early Modern,0.0475,0.1156,0.0084,0.4804,0.3481
109,R62,Medieval & Early Modern,0.1965,0.2148,0,0.3164,0.2722
110,R61,Medieval & Early Modern,0.1577,0.1742,0,0.3448,0.3233
111,R53,Medieval & Early Modern,0.077,0.0785,0.0121,0.4793,0.3531
112,R54,Medieval & Early Modern,0.0629,0.0741,0.0173,0.525,0.3207
113,R55,Medieval & Early Modern,0.1225,0.1615,0,0.3736,0.3424
114,R52,Medieval & Early Modern,0.0822,0.0814,0.0106,0.4582,0.3676
115,R56,Medieval & Early Modern,0.0507,0.1003,0.0108,0.4926,0.3456
116,R1290,Medieval & Early Modern,0.085,0.0944,0.0073,0.4654,0.3479
117,R1287,Medieval & Early Modern,0.1034,0.0926,0,0.4228,0.3813
118,R1288,Medieval & Early Modern,0.1965,0.2075,0,0.3339,0.2621
119,R1289,Medieval & Early Modern,0.1748,0.1611,0.0089,0.2954,0.3598
120,R1286,Medieval & Early Modern,0.1746,0.277,0,0.2925,0.2558
121,R1219,Medieval & Early Modern,0.1843,0.2305,0,0.3077,0.2776
122,R1220,Medieval & Early Modern,0.1849,0.2176,0,0.327,0.2704
123,R1224,Medieval & Early Modern,0.201,0.1818,0,0.3295,0.2877
124,R1221,Medieval & Early Modern,0.1584,0.2049,0,0.3472,0.2895
125,R973,Medieval & Early Modern,0.0707,0.1211,0.0171,0.4292,0.3619
126,R969,Medieval & Early Modern,0.0898,0.0916,0.0142,0.4741,0.3304
127,R970,Medieval & Early Modern,0.0945,0.1383,0.0046,0.4313,0.3313
128,id100_id100,Present   ,0.0947,0.1087,0.0078,0.4474,0.3414
129,id133_id133,Present   ,0.1039,0.1334,0.0035,0.4565,0.3028
130,id257_id257,Present   ,0.0856,0.1321,0,0.462,0.3204
131,id004_id004,Present   ,0.0893,0.1099,0.0012,0.4446,0.3551
132,id022_id022,Present   ,0.1098,0.098,0,0.4704,0.3218
133,id215_id215,Present   ,0.0831,0.1389,0.0065,0.4383,0.3332
134,id230_id230,Present   ,0.0735,0.1297,0.0055,0.4713,0.32
135,id146_id146,Present   ,0.0978,0.1176,0.0112,0.4419,0.3316
136,id300_id300,Present   ,0.1212,0.1013,0.0083,0.4483,0.3209
137,id056_id056,Present   ,0.1103,0.1023,0.0091,0.4588,0.3195
138,id273_id273,Present   ,0.1014,0.1179,0.0088,0.4714,0.3005
139,id209_id209,Present   ,0.0924,0.1172,0.0088,0.4502,0.3314
140,id251_id251,Present   ,0.0922,0.1348,0.0126,0.4685,0.2918
141,id262_id262,Present   ,0.096,0.1241,0,0.4526,0.3272
142,id189_id189,Present   ,0.0939,0.127,0.01,0.4347,0.3344
